Date,Store ID,Store Type,Product ID,Product Name,Category,Horizon Days,Inventory Level,Incoming Units,Storage Capacity,Delivery Lead Time,Predicted Demand,Safety Stock,Required Stock,Available Stock,Remaining Store Capacity,Recommended Shipment,Priority
2024-01-05,S009,Small,P0003,Oak & Co T-Shirt 3,Clothing,3,43,12,3250,1,38,6,44,55,3195,0,Low
2024-01-05,S009,Small,P0004,Nova Smart Speaker 4,Electronics,3,29,12,3250,1,25,4,29,41,3209,0,Low
2024-01-05,S009,Small,P0006,Everline Model Car 6,Toys,3,11,4,3250,1,11,2,13,15,3235,0,Low
2024-01-05,S009,Small,P0007,Oak & Co Face Cream 7,Personal Care,3,14,9,3250,1,17,3,20,23,3227,0,Low
2024-01-05,S009,Small,P0008,Northfield Storage Box 8,Household,3,59,15,3250,1,55,8,63,74,3176,0,Low
2024-01-05,S009,Small,P0009,Creston Resistance Band 9,Sports,3,36,15,3250,1,36,5,41,51,3199,0,Low
2024-01-05,S009,Small,P0010,Creston Stapler 10,Office Supplies,3,20,11,3250,1,24,4,28,31,3219,0,Low
2024-01-05,S009,Small,P0012,Creston Energy Drink 12,Beverages,3,86,18,3250,1,82,12,94,104,3146,0,Low
2024-01-05,S009,Small,P0013,Nova Jeans 13,Clothing,3,26,4,3250,1,22,3,25,30,3220,0,Low
2024-01-05,S009,Small,P0014,Nova Headphones 14,Electronics,3,34,10,3250,1,38,6,44,44,3206,0,Low
2024-01-05,S009,Small,P0015,Aster Bedside Table 15,Furniture,3,15,7,3250,1,12,2,14,22,3228,0,Low
2024-01-05,S009,Small,P0016,Summit Puzzle 16,Toys,3,8,1,3250,1,7,1,8,9,3241,0,Low
2024-01-05,S009,Small,P0017,Mosaic Shampoo 17,Personal Care,3,80,21,3250,1,71,11,82,101,3149,0,Low
2024-01-05,S009,Small,P0019,DailyChoice Football 19,Sports,3,16,9,3250,1,15,2,17,25,3225,0,Low
2024-01-05,S009,Small,P0022,Everline Orange Juice 22,Beverages,3,39,6,3250,1,35,5,40,45,3205,0,Low
2024-01-05,S009,Small,P0023,DailyChoice T-Shirt 23,Clothing,3,30,3,3250,1,26,4,30,33,3217,0,Low
2024-01-05,S009,Small,P0024,Creston Headphones 24,Electronics,3,17,8,3250,1,16,2,18,25,3225,0,Low
2024-01-05,S009,Small,P0025,Creston Desk 25,Furniture,3,7,0,3250,1,6,1,7,7,3243,0,Low
2024-01-05,S002,Medium,P0004,Nova Smart Speaker 4,Electronics,7,80,20,5250,2,87,13,100,100,5150,0,Low
2024-01-05,S002,Medium,P0005,Summit Bookshelf 5,Furniture,7,15,3,5250,2,15,2,17,18,5232,0,Low
2024-01-05,S002,Medium,P0006,Everline Model Car 6,Toys,7,28,4,5250,2,27,4,31,32,5218,0,Low
2024-01-05,S002,Medium,P0007,Oak & Co Face Cream 7,Personal Care,7,47,18,5250,2,53,8,61,65,5185,0,Low
2024-01-05,S002,Medium,P0016,Summit Puzzle 16,Toys,7,25,3,5250,2,23,3,26,28,5222,0,Low
2024-01-05,S002,Medium,P0020,Everline Marker Set 20,Office Supplies,7,142,41,5250,2,147,22,169,183,5067,0,Low
2024-01-05,S002,Medium,P0022,Everline Orange Juice 22,Beverages,7,107,34,5250,2,123,18,141,141,5109,0,Low
2024-01-05,S002,Medium,P0023,DailyChoice T-Shirt 23,Clothing,7,77,29,5250,2,86,13,99,106,5144,0,Low
2024-01-05,S002,Medium,P0024,Creston Headphones 24,Electronics,7,57,12,5250,2,59,9,68,69,5181,0,Low
2024-01-05,S006,Medium,P0005,Summit Bookshelf 5,Furniture,7,16,11,5250,2,19,3,22,27,5223,0,Low
2024-01-05,S006,Medium,P0022,Everline Orange Juice 22,Beverages,7,129,37,5250,2,138,21,159,166,5084,0,Low
2024-01-05,S006,Medium,P0025,Creston Desk 25,Furniture,7,24,2,5250,2,21,3,24,26,5224,0,Low
2024-01-05,S010,Medium,P0005,Summit Bookshelf 5,Furniture,7,18,5,5250,2,17,3,20,23,5227,0,Low
2024-01-05,S010,Medium,P0018,Everline Detergent 18,Household,7,170,33,5250,2,171,26,197,203,5047,0,Low
2024-01-05,S003,Large,P0005,Summit Bookshelf 5,Furniture,14,61,7,9000,4,59,9,68,68,8932,0,Low
